# 정규표현\t분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
일화	일/NR+화/NNB
파생어인가요	파생어/NNG+이/VCP+ㄴ가요/EC
모두뭣도	모두/MAG+뭣/NP+도/JX
펴요에서	펴/VV+요/EC+에서/JKB
펴요가	펴/VV+요/EC+가/JKS
한글어	한글/NNG+어/NNG
한글어란	한글/NNG+어/NNG+란/JX
높임법이	높이/VV+ㅁ/ETN+법/NNG+이/JKS
높임법이라는	높이/VV+ㅁ/ETN+법/NNG+이/VCP+라는/ETM
높임법상	높이/VV+ㅁ/ETN+법/NNG+상/XSN
기여코져로	기여/NNG+코/NNG+지/VV+어/EC+로/JKB
기여코져	기여코져로	기여/NNG+코/NNG+지/VV+어/EC
말썽꾸러기였다	말썽/NNG+꾸러기/NNG+이/VCP+었/EP+다/EC
광장에서쪽이	광장/NNG+에서/JKB+쪽/NNB+이/VCP
명목GDP입니다	명목/NNG+GDP/SL+입/VV+니다/EC
미쁘다의	미쁘/VA+다/EC+의/JKG
미쁘다는	미쁘/VA+다는/ETM
미쁘게	미쁘/VA+게/EC
미쁘고	미쁘/VA+고/EC
일찍과의	일찍/MAG+과/JKB+의/JKG
파생접사	파생/NNG+접사/NNG
조심스럽습니다	조심/NNG+스럽/XSA+습니다/EC
숨긴다란	숨기/VV+ㄴ다/EF+란/ETM
특징지워진과	특징지워/NF+지/EC+ㄴ/JX+과/JC
특징지어진은	특징짓/VV+어/EC+진/NNG+은/JX
사잇소리	사/NNG+잇/NNG+소리/NNG
자연스럽습니다	자연/NNG+스럽/XSA+습니다/EC
넙칫과의	넙칫/NF+과/XPN+의/JKG
피붙이라곤	피붙이/NNG+이/VCP+라고/EF+ㄴ/ETM
떠납니다	떠나/VV+ㅂ니다/EC
선생님으로써	선생/NNG+님/XSN+으로써/JKB
막빈으로	막빈/NNG+으로/JKB
